WigleWifi-1.4,appRelease=2.25,model=LG-D722,release=5.0.2,device=jagnm,display=LRX22G.A1442060254,board=MSM8226,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2017-11-02 20:04:49,6,-84,32.10453475,35.20540174,656,20,WIFI
6c:aa:b3:08:24:98,Ariel_University,[ESS],2017-11-02 20:04:49,1,-95,32.10453475,35.20540174,656,20,WIFI
24:c9:a1:75:e7:e3,island-35E7E0,[WPA2-PSK-CCMP][ESS],2017-11-02 20:05:20,11,-60,32.10500674,35.20557598,670,20,WIFI
8c:0c:90:2e:d4:58,Ariel_University,[ESS],2017-11-02 20:05:20,6,-72,32.10500674,35.20557598,670,20,WIFI
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2017-11-02 20:05:20,6,-77,32.10500674,35.20557598,670,20,WIFI
e0:10:7f:1a:b2:58,Ariel_University,[ESS],2017-11-02 20:05:20,11,-86,32.10500674,35.20557598,670,20,WIFI
42503_6791_2105347,Pelephone,UNKNOWN;il,2017-11-02 20:05:20,0,-113,32.10500674,35.20557598,670,20,GSM
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2017-11-02 20:05:20,6,-71,32.10500674,35.20557598,670,20,WIFI
e0:10:7f:1a:b2:58,Ariel_University,[ESS],2017-11-02 20:05:20,11,-72,32.10500674,35.20557598,670,20,WIFI
c4:e9:84:d0:40:5f,kar140_2.4GHz_100M,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 20:05:20,1,-94,32.10500674,35.20557598,670,20,WIFI
24:c9:a1:36:2a:68,Ariel_University,[ESS],2017-11-02 20:05:20,11,-80,32.10500674,35.20557598,670,20,WIFI
8c:0c:90:2d:79:78,Ariel_University,[ESS],2017-11-02 20:05:20,1,-83,32.10500674,35.20557598,670,20,WIFI
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2017-11-02 20:05:20,11,-92,32.10500674,35.20557598,670,20,WIFI
e0:10:7f:1e:55:48,Ariel_University,[ESS],2017-11-02 20:05:20,1,-92,32.10500674,35.20557598,670,20,WIFI
e0:10:7f:1a:99:f8,Ariel_University,[ESS],2017-11-02 20:05:50,6,-51,32.10546896,35.20555072,652,29,WIFI
8c:0c:90:2d:79:78,Ariel_University,[ESS],2017-11-02 20:05:50,1,-78,32.10546896,35.20555072,652,29,WIFI
